X.mm;Y.mm
-108;108
-81;108
-54;108
-27;108
0;108
27;108
54;108
81;108
108;108
-108;81
-81;81
-54;81
-27;81
0;81
27;81
54;81
81;81
108;81
-108;54
-81;54
-54;54
-27;54
0;54
27;54
54;54
81;54
108;54
-108;27
-81;27
-54;27
-27;27
0;27
27;27
54;27
81;27
108;27
-108;0
-81;0
-54;0
-27;0
0;0
27;0
54;0
81;0
108;0
-108;-27
-81;-27
-54;-27
-27;-27
0;-27
27;-27
54;-27
81;-27
108;-27
-108;-54
-81;-54
-54;-54
-27;-54
0;-54
27;-54
54;-54
81;-54
108;-54
-108;-81
-81;-81
-54;-81
-27;-81
0;-81
27;-81
54;-81
81;-81
108;-81
-108;-108
-81;-108
-54;-108
-27;-108
0;-108
27;-108
54;-108
81;-108
108;-108
