"X.mm,Y.mm,X.Pixel,Y.Pixel"
"-108,108,24,24"
"-81,108,113,24"
"-54,108,202,24"
"-27,108,291,24"
"0,108,380,24"
"27,108,469,24"
"54,108,558,24"
"81,108,647,24"
"108,108,736,24"
"-108,81,24,113"
"-81,81,113,113"
"-54,81,202,113"
"-27,81,291,113"
"0,81,380,113"
"27,81,469,113"
"54,81,558,113"
"81,81,647,113"
"108,81,736,113"
"-108,54,24,202"
"-81,54,113,202"
"-54,54,202,202"
"-27,54,291,202"
"0,54,380,202"
"27,54,469,202"
"54,54,558,202"
"81,54,647,202"
"108,54,736,202"
"-108,27,24,291"
"-81,27,113,291"
"-54,27,202,291"
"-27,27,291,291"
"0,27,380,291"
"27,27,469,291"
"54,27,558,291"
"81,27,647,291"
"108,27,736,291"
"-108,0,24,380"
"-81,0,113,380"
"-54,0,202,380"
"-27,0,291,380"
"0,0,380,380"
"27,0,469,380"
"54,0,558,380"
"81,0,647,380"
"108,0,736,380"
"-108,-27,24,469"
"-81,-27,113,469"
"-54,-27,202,469"
"-27,-27,291,469"
"0,-27,380,469"
"27,-27,469,469"
"54,-27,558,469"
"81,-27,647,469"
"108,-27,736,469"
"-108,-54,24,558"
"-81,-54,113,558"
"-54,-54,202,558"
"-27,-54,291,558"
"0,-54,380,558"
"27,-54,469,558"
"54,-54,558,558"
"81,-54,647,558"
"108,-54,736,558"
"-108,-81,24,647"
"-81,-81,113,647"
"-54,-81,202,647"
"-27,-81,291,647"
"0,-81,380,647"
"27,-81,469,647"
"54,-81,558,647"
"81,-81,647,647"
"108,-81,736,647"
"-108,-108,24,736"
"-81,-108,113,736"
"-54,-108,202,736"
"-27,-108,291,736"
"0,-108,380,736"
"27,-108,469,736"
"54,-108,558,736"
"81,-108,647,736"
"108,-108,736,736"
